性別,年代,声優数,合計声優数,声優数のシェア,text
female,2000,127,252,0.503968253968254,0.50
female,2001,145,287,0.5052264808362369,0.51
female,2002,147,288,0.5104166666666666,0.51
female,2003,173,342,0.5058479532163743,0.51
female,2004,202,407,0.4963144963144963,0.50
female,2005,201,398,0.5050251256281407,0.51
female,2006,265,515,0.5145631067961165,0.51
female,2007,237,491,0.48268839103869654,0.48
female,2008,228,470,0.4851063829787234,0.49
female,2009,198,400,0.495,0.49
female,2010,190,372,0.510752688172043,0.51
female,2011,193,381,0.5065616797900262,0.51
female,2012,225,433,0.5196304849884527,0.52
female,2013,262,503,0.5208747514910537,0.52
female,2014,224,430,0.5209302325581395,0.52
female,2015,245,469,0.5223880597014925,0.52
female,2016,240,463,0.5183585313174947,0.52
female,2017,147,283,0.519434628975265,0.52
male,2000,125,252,0.49603174603174605,0.50
male,2001,142,287,0.49477351916376305,0.49
male,2002,141,288,0.4895833333333333,0.49
male,2003,169,342,0.49415204678362573,0.49
male,2004,205,407,0.5036855036855037,0.50
male,2005,197,398,0.4949748743718593,0.49
male,2006,250,515,0.4854368932038835,0.49
male,2007,254,491,0.5173116089613035,0.52
male,2008,242,470,0.5148936170212766,0.51
male,2009,202,400,0.505,0.51
male,2010,182,372,0.489247311827957,0.49
male,2011,188,381,0.49343832020997375,0.49
male,2012,208,433,0.48036951501154734,0.48
male,2013,241,503,0.47912524850894633,0.48
male,2014,206,430,0.4790697674418605,0.48
male,2015,224,469,0.47761194029850745,0.48
male,2016,223,463,0.4816414686825054,0.48
male,2017,136,283,0.48056537102473496,0.48
