マンガ作品名,年代,合計話数
こちら葛飾区亀有公園前派出所,1970,160
こちら葛飾区亀有公園前派出所,1980,501
こちら葛飾区亀有公園前派出所,1990,482
こちら葛飾区亀有公園前派出所,2000,492
こちら葛飾区亀有公園前派出所,2010,333
はじめの一歩,1970,0
はじめの一歩,1980,10
はじめの一歩,1990,451
はじめの一歩,2000,414
はじめの一歩,2010,311
名探偵コナン,1970,0
名探偵コナン,1980,0
名探偵コナン,1990,279
名探偵コナン,2000,441
名探偵コナン,2010,289
ONE PIECE,1970,0
ONE PIECE,1980,0
ONE PIECE,1990,114
ONE PIECE,2000,463
ONE PIECE,2010,316
MAJOR,1970,0
MAJOR,1980,0
MAJOR,1990,257
MAJOR,2000,463
MAJOR,2010,28
NARUTO-ナルト-,1970,0
NARUTO-ナルト-,1980,0
NARUTO-ナルト-,1990,10
NARUTO-ナルト-,2000,469
NARUTO-ナルト-,2010,243
BLEACH,1970,0
BLEACH,1980,0
BLEACH,1990,0
BLEACH,2000,406
BLEACH,2010,309
銀魂,1970,0
銀魂,1980,0
銀魂,1990,0
銀魂,2000,294
銀魂,2010,361
ドカベン,1970,380
ドカベン,1980,65
ドカベン,1990,187
ドカベン,2000,2
ドカベン,2010,1
ジョジョの奇妙な冒険,1970,0
ジョジョの奇妙な冒険,1980,150
ジョジョの奇妙な冒険,1990,441
ジョジョの奇妙な冒険,2000,3
ジョジョの奇妙な冒険,2010,0
