発売年,平均マンガ作品数,平均ページ数,平均価格
1970,13.965116279069768,282.56976744186045,83.02325581395348
1971,13.401960784313726,283.02941176470586,87.33990147783251
1972,13.323529411764707,285.96078431372547,95.3921568627451
1973,13.818627450980392,295.328431372549,101.91176470588235
1974,11.964824120603016,238.60804020100502,128.5929648241206
1975,12.202970297029703,248.46534653465346,134.7029702970297
1976,13.815,286.795,149.1
1977,14.03960396039604,304.029702970297,156.33663366336634
1978,14.069306930693068,307.6039603960396,156.73267326732673
1979,15.03,323.485,158.0
1980,15.53,330.6,167.2
1981,15.61951219512195,327.5853658536585,173.02439024390245
1982,16.039800995024876,333.23880597014926,174.47761194029852
1983,16.29353233830846,332.6517412935323,175.67164179104478
1984,16.233830845771145,338.5771144278607,178.45771144278606
1985,15.870646766169154,335.0149253731343,178.2089552238806
1986,15.735,337.22,178.4
1987,17.396984924623116,358.42713567839195,178.39195979899498
1988,18.852216748768473,378.54679802955667,178.4729064039409
1989,20.07070707070707,404.1060606060606,185.65656565656565
1990,20.150753768844222,410.0502512562814,192.71356783919597
1991,20.421875,409.734375,198.80208333333334
1992,19.756476683937823,408.52331606217615,199.22279792746113
1993,19.776041666666668,411.5052083333333,200.20833333333334
1994,20.692708333333332,416.6822916666667,201.77083333333334
1995,21.135416666666668,423.7135416666667,203.92670157068062
1996,21.026041666666668,431.0364583333333,207.55208333333334
1997,21.817708333333332,438.8072916666667,212.76041666666666
1998,21.817708333333332,448.21875,223.22916666666666
1999,22.348958333333332,454.46875,225.625
2000,22.305699481865286,451.38860103626945,225.59585492227978
2001,22.713541666666668,454.796875,216.375
2002,22.369791666666668,451.7239583333333,216.25
2003,21.916666666666668,451.171875,217.6875
2004,22.333333333333332,467.5625,222.74479166666666
2005,22.3419689119171,459.2435233160622,228.29533678756476
2006,23.536458333333332,459.2916666666667,229.25520833333334
2007,23.75392670157068,468.0628272251309,233.9633507853403
2008,23.755208333333332,472.8645833333333,238.84895833333334
2009,23.671717171717173,465.57070707070704,244.62121212121212
2010,23.84020618556701,462.7938144329897,245.8041237113402
2011,23.51578947368421,462.80526315789473,247.73157894736843
2012,23.78238341968912,469.67875647668393,249.38860103626942
2013,23.8125,468.3177083333333,249.09375
2014,23.697916666666668,466.0989583333333,246.92708333333334
2015,23.616580310880828,462.440414507772,265.5388601036269
2016,23.061855670103093,460.9020618556701,249.3659793814433
2017,23.045045045045047,456.4864864864865,250.97297297297297
